anio,mes,agente_nemo,agente_descripcion,tipo_agente,region,provincia,categoria_area,categoria_demanda,tarifa,categoria_tarifa,demanda_MWh,indice_tiempo
2017,02,AGRIPTCY,ARTES GRAFICAS RIOPLATENSE SA,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,307.434,2017-02
2017,02,AIRLBB2Z,AIR LIQUIDE - Pta.Bahia Blanca,GU,BUENOS AIRES,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,3236.88,2017-02
2017,02,AIRLESOY,AIR LIQUIDE - Escobar,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,11.534,2017-02
2017,02,AIRLLACY,AIR LIQUIDE - Llavallol,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1783.363,2017-02
2017,02,AIRLNSIY,AIR LIQUIDE - Ensenada,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,2788.182,2017-02
2017,02,AIRLSN1Y,AIR LIQUIDE - P3 SIDERAR,GU,BUENOS AIRES,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1966.255,2017-02
2017,02,AIRLVCSY,AIR LIQUIDE - V.Constitucion,GU,LITORAL,SANTA FE,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,6666.782,2017-02
2017,02,AKZ2SLSY,AKZO NOBEL ARGENT.SA  - EX ICI,GU,LITORAL,SANTA FE,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1974.63,2017-02
2017,02,AKZ2SLSY,AKZO NOBEL ARGENT.SA - EX ICI,GU,LITORAL,SANTA FE,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1974.63,2017-02
2017,02,AKZOGAOY,AKZO NOBEL ARG.-EX ALBA,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,552.356,2017-02
2017,02,ALPAHOCY,ALVEAR PALACE HOTEL S.A. E I.,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,734.96,2017-02
2017,02,ALPAVACY,ALPARGATAS CALZADOS - F Varela,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,371.782,2017-02
2017,02,ALPLAVOY,ALPLA AVELLANEDA S.A. - Pilar,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,3738.437,2017-02
2017,02,ALTOAPOY,ALTO PALERMO SA(EX-APSA y SHO),GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1325.556,2017-02
2017,02,ALUAMAUZ,ALUAR SA,GU,PATAGONICA,CHUBUT,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,159069.256,2017-02
2017,02,AMCOPIOY,AMCOR PET PACK.ARG.(LUBEPIOY),GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1925.232,2017-02
2017,02,ANDIGPOY,ANDINA EMPAQUES ARG.S.A.,GU,GRAN BS.AS.,BUENOS AIRES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,2966.315,2017-02
2017,02,APARBONY,ALTO PARANA-PTO.BOSSETI,GU,NORESTE,MISIONES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,76.992,2017-02
2017,02,APARESNY,ALTO PARANA-PTO.ESPERANZA,GU,NORESTE,MISIONES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,6407.571,2017-02
2017,02,APARPPNA,ALTO PARANA-PTO.PIRAY,AG,NORESTE,MISIONES,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,1.814,2017-02
2017,02,APARSMSY,ALTO PARANA-EX FAPLAC,GU,LITORAL,SANTA FE,Gran Usuario MEM,Gran Usuario,GUMAS/AUTOGENERADORES,Industrial/Comercial Grande,919.667,2017-02
